	"Forcing timeseries from IPCC AR5 (Myhre et al., 2013) Chapter 8 updated to 2015 using GHG data from NOAA and ECLIPSE data from CICERO for ozone and aerosol; Volcanic data from Anja Schmidt; Solar data from SOURCE."													
1971	0.85	0.555	0.27	-0.02	-0.34	-0.72	-0.13	0.05	0.05	0.01	0.08	-0.15	0.845	0.915
1972	0.87	0.5772	0.28	-0.02	-0.34	-0.73	-0.13	0.05	0.05	0.01	0.08	-0.1	0.9372	0.9572
1973	0.88	0.5994	0.28	-0.02	-0.35	-0.73	-0.13	0.05	0.05	0.01	0.04	-0.2	0.8294	0.9894
1974	0.9	0.6216	0.29	-0.02	-0.35	-0.73	-0.13	0.05	0.05	0.01	0.02	-0.33	0.7316	1.0416
1975	0.92	0.6438	0.3	-0.02	-0.35	-0.73	-0.14	0.05	0.05	0.01	0.01	-0.75	0.3438	1.0838
1976	0.94	0.666	0.3	-0.02	-0.36	-0.74	-0.14	0.06	0.05	0.01	0	-0.35	0.776	1.126
1977	0.96	0.6882	0.31	-0.02	-0.36	-0.74	-0.14	0.06	0.05	0.01	0.04	-0.13	1.0882	1.1782
1978	0.99	0.7104	0.32	-0.03	-0.36	-0.74	-0.14	0.06	0.05	0.01	0.13	-0.2	1.1604	1.2304
1979	1.02	0.7326	0.32	-0.03	-0.37	-0.75	-0.14	0.06	0.05	0.01	0.17	-0.23	1.2126	1.2726
1980	1.05	0.7548	0.33	-0.03	-0.37	-0.75	-0.14	0.06	0.05	0.01	0.15	-0.13	1.3548	1.3348
1981	1.07	0.777	0.33	-0.03	-0.37	-0.76	-0.14	0.06	0.05	0.01	0.15	-0.13	1.387	1.367
1982	1.08	0.7992	0.34	-0.03	-0.38	-0.78	-0.14	0.06	0.05	0.01	0.09	-1.33	0.1492	1.3892
1983	1.11	0.8214	0.34	-0.03	-0.38	-0.79	-0.14	0.06	0.05	0.01	0.09	-1.88	-0.3586	1.4314
1984	1.14	0.8436	0.35	-0.04	-0.38	-0.8	-0.14	0.06	0.05	0.01	0.02	-0.75	0.7436	1.4736
1985	1.16	0.8658	0.35	-0.04	-0.39	-0.81	-0.14	0.06	0.05	0.01	0.01	-0.33	1.1858	1.5058
1986	1.18	0.8769	0.36	-0.04	-0.39	-0.82	-0.14	0.07	0.05	0.01	0.01	-0.35	1.2069	1.5469
1987	1.21	0.8991	0.36	-0.04	-0.39	-0.84	-0.14	0.07	0.05	0.02	0.01	-0.25	1.3491	1.5891
1988	1.24	0.9213	0.36	-0.04	-0.4	-0.85	-0.14	0.07	0.05	0.02	0.1	-0.2	1.5313	1.6313
1989	1.27	0.9435	0.37	-0.05	-0.4	-0.86	-0.15	0.07	0.05	0.02	0.15	-0.15	1.6635	1.6635
1990	1.29	0.9657	0.37	-0.05	-0.4	-0.87	-0.15	0.07	0.05	0.02	0.12	-0.15	1.6657	1.6957
1991	1.3	0.9879	0.37	-0.05	-0.4	-0.88	-0.15	0.07	0.05	0.02	0.13	-1.35	0.4979	1.7179
1992	1.32	0.999	0.38	-0.05	-0.4	-0.88	-0.15	0.07	0.05	0.02	0.14	-3.03	-1.131	1.759
1993	1.33	1.0101	0.38	-0.05	-0.39	-0.89	-0.15	0.07	0.04	0.02	0.06	-1.23	0.5901	1.7601
1994	1.35	1.0212	0.38	-0.06	-0.39	-0.89	-0.15	0.07	0.04	0.02	0.03	-0.5	1.3112	1.7812
1995	1.38	1.0212	0.38	-0.06	-0.38	-0.9	-0.15	0.07	0.04	0.03	0.02	-0.25	1.5812	1.8112
1996	1.4	1.0323	0.38	-0.06	-0.38	-0.9	-0.15	0.07	0.04	0.03	0	-0.18	1.6623	1.8423
1997	1.43	1.0434	0.38	-0.06	-0.38	-0.91	-0.15	0.07	0.04	0.03	0.02	-0.13	1.7634	1.8734
1998	1.46	1.0434	0.38	-0.06	-0.37	-0.91	-0.15	0.07	0.04	0.03	0.06	-0.08	1.8834	1.9034
1999	1.49	1.0545	0.39	-0.06	-0.37	-0.92	-0.15	0.07	0.04	0.03	0.1	-0.05	1.9945	1.9445
2000	1.51	1.0656	0.39	-0.06	-0.36	-0.92	-0.15	0.07	0.04	0.03	0.13	-0.05	2.0556	1.9756
2001	1.53	1.0656	0.39	-0.06	-0.36	-0.92	-0.15	0.07	0.04	0.03	0.11	-0.05	2.0556	1.9956
2002	1.56	1.0767	0.39	-0.05	-0.36	-0.92	-0.15	0.07	0.04	0.03	0.11	-0.05	2.1067	2.0467
2003	1.59	1.0767	0.39	-0.05	-0.36	-0.92	-0.15	0.07	0.04	0.03	0.04	-0.08	2.0367	2.0767
2004	1.62	1.0767	0.39	-0.05	-0.36	-0.91	-0.15	0.07	0.04	0.04	0.01	-0.05	2.0867	2.1267
2005	1.65	1.0878	0.39	-0.05	-0.36	-0.91	-0.15	0.07	0.04	0.04	-0.01	-0.08	2.0778	2.1678
2006	1.68	1.0878	0.4	-0.05	-0.36	-0.91	-0.15	0.07	0.04	0.04	-0.02	-0.1	2.0878	2.2078
2007	1.71	1.0989	0.4	-0.05	-0.35	-0.91	-0.15	0.07	0.04	0.04	-0.02	-0.1	2.1289	2.2489
2008	1.74	1.0989	0.4	-0.05	-0.35	-0.9	-0.15	0.07	0.04	0.05	-0.02	-0.2	2.0789	2.2989
2009	1.76	1.11	0.4	-0.05	-0.35	-0.9	-0.15	0.07	0.04	0.04	-0.03	-0.26	2.03	2.32
2010	1.79	1.1211	0.4	-0.05	-0.35	-0.9	-0.15	0.07	0.04	0.05	0	-0.2	2.1711	2.3711
2011	1.82	1.1211	0.4	-0.05	-0.35	-0.9	-0.15	0.07	0.04	0.05	0.03	-0.26	2.1711	2.4011
2012	1.845	1.141317554	0.40421	-0.05	-0.33158	-0.89037	-0.15211	0.07372	0.04	0.05	0.02852	-0.23684	2.253447554	2.461767554
2013	1.882	1.148699345	0.40842	-0.05	-0.31316	-0.88074	-0.15421	0.07473	0.04	0.05	0.02693	-0.22368	2.322149345	2.518899345
2014	1.909	1.159482215	0.41263	-0.05	-0.29474	-0.87111	-0.15632	0.07575	0.04	0.05	0.02535	-0.21052	2.384262215	2.569432215
Jun-15	1.943619059	1.168902116	0.41684	-0.05	-0.27632	-0.86147	-0.15842	0.07676	0.04	0.05	0.011105542	-0.19736	2.439976717	2.626231175
Jul-15	1.921492472	1.169395599	0.417190833	-0.05	-0.274784167	-0.8606675	-0.158595833	0.076845	0.04	0.05	0.036822544	-0.196265	2.446218115	2.605660571
Aug-15	1.904129538	1.170293621	0.417541667	-0.05	-0.273248333	-0.859865	-0.158771667	0.07693	0.04	0.05	-0.014935116	-0.19517	2.380153043	2.590258159
Sep-15	1.908172461	1.171135682	0.4178925	-0.05	-0.2717125	-0.8590625	-0.1589475	0.077015	0.04	0.05	-0.025448458	-0.194075	2.376682185	2.596205643
Oct-15	1.927804523	1.172053926	0.418243333	-0.05	-0.270176667	-0.85826	-0.159123333	0.0771	0.04	0.05	0.010876254	-0.19298	2.435714703	2.617818449
Nov-15	1.948969327	1.172669853	0.418594167	-0.05	-0.268640833	-0.8574575	-0.159299167	0.077185	0.04	0.05	0.019747042	-0.191885	2.468523722	2.64066168
Dec-15	1.966454093	1.173201977	0.418945	-0.05	-0.267105	-0.856655	-0.159475	0.07727	0.04	0.05	0.000162303	-0.19079	2.469113373	2.65974107
Jan-16	1.98109195	1.17364034	0.419295833	-0.05	-0.265569167	-0.8558525	-0.159650833	0.077355	0.04	0.05	0.006560528	-0.189695	2.492745318	2.67587979
Feb-16	1.995729806	1.174162322	0.419646667	-0.05	-0.264033333	-0.85505	-0.159826667	0.07744	0.04	0.05	0.009338142	-0.1886	2.51284027	2.692102128
Mar-16	2.006768582	1.174710767	0.4199975	-0.05	-0.2624975	-0.8542475	-0.1600025	0.077525	0.04	0.05	0.0085	-0.187505	2.52574685	2.70475185
Apr-16	2.014100444	1.174959649	0.420348333	-0.05	-0.260961667	-0.853445	-0.160178333	0.07761	0.04	0.05	0.007661858	-0.18641	2.534646952	2.713395094
May-16	2.015321574	1.175175223	0.420699167	-0.05	-0.259425833	-0.8526425	-0.160354167	0.077695	0.04	0.05	0.006823716	-0.185315	2.537403012	2.715894296
Jun-16	2.004594502	1.175257875	0.42105	-0.05	-0.25789	-0.85184	-0.16053	0.07778	0.04	0.05	0.005985574	-0.18422	2.528077951	2.706312377
Jul-16	1.984311436	1.175930585	0.421400833	-0.05	-0.256355	-0.8510375	-0.160705	0.077864167	0.04	0.05	0.005147432	-0.183125	2.509786953	2.687764521
Aug-16	1.966696779	1.176878653	0.421751667	-0.05	-0.25482	-0.850235	-0.16088	0.077948333	0.04	0.05	0.00430929	-0.18203	2.494439721	2.672160431
Sep-16	1.968200772	1.178042959	0.4221025	-0.05	-0.253285	-0.8494325	-0.161055	0.0780325	0.04	0.05	0.003471148	-0.180935	2.498427379	2.675891231
Oct-16	1.987719304	1.178946593	0.422453333	-0.05	-0.25175	-0.84863	-0.16123	0.078116667	0.04	0.05	0.002633006	-0.17984	2.520168903	2.697375897
Nov-16	2.007311983	1.179401302	0.422804167	-0.05	-0.250215	-0.8478275	-0.161405	0.078200833	0.04	0.05	0.001794864	-0.178745	2.541535648	2.718485784
Dec-16	2.021965702	1.179958754	0.423155	-0.05	-0.24868	-0.847025	-0.16158	0.078285	0.04	0.05	0.000956722	-0.17765	2.558066178	2.734759456
Jan-17	2.036619421	1.180529376	0.423505833	-0.05	-0.247145	-0.8462225	-0.161755	0.078369167	0.04	0.05	0.00011858	-0.176555	2.574609878	2.751046298
Feb-17	2.051273141	1.181099901	0.423856667	-0.05	-0.24561	-0.84542	-0.16193	0.078453333	0.04	0.05	-0.000719562	-0.17546	2.59115348	2.767333042
Mar-17	2.06592686	1.181670327	0.4242075	-0.05	-0.244075	-0.8446175	-0.162105	0.0785375	0.04	0.05	-0.001557704	-0.174365	2.607696983	2.783619687
Apr-17	NaN	NaN	0.424558333	-0.05	-0.24254	-0.843815	-0.16228	0.078621667	0.04	0.05	NaN	NaN	NaN	NaN
May-17	NaN	NaN	0.424909167	-0.05	-0.241005	-0.8430125	-0.162455	0.078705833	0.04	0.05	NaN	NaN	NaN	NaN
Jun-17	NaN	NaN	0.42526	-0.05	-0.23947	-0.84221	-0.16263	0.07879	0.04	0.05	NaN	NaN	NaN	NaN
