UNIT,MtCH4,MtN
YEAR,CH4,N2O
2131,212.2279,9.1
2132,211.6208,9.1
2133,211.3625,9.1
2134,211.3833,9.1
2135,211.5752,9.1
2136,211.9077,9.1
2137,212.1801,9.1
2138,212.2549,9.1
2139,212.202,9.1
2140,212.1059,9.1
2141,211.9938,9.1
2142,211.5679,9.1
2143,210.9872,9.1
2144,210.7487,9.1
2145,210.7945,9.1
2146,211.0186,9.1
2147,211.388,9.1
2148,211.7019,9.1
2149,211.8199,9.1
2150,211.8061,9.1
2151,211.5746,9.1
2152,211.4105,9.1
2153,211.0188,9.1
2154,210.4673,9.1
2155,210.255,9.1
2156,210.3334,9.1
2157,210.5973,9.1
2158,211.0126,9.1
2159,211.3801,9.1
2160,211.5538,9.1
2161,211.5938,9.1
2162,211.5843,9.1
2163,211.5547,9.1
2164,211.2101,9.1
2165,210.6987,9.1
2166,210.5189,9.1
2167,210.6321,9.1
2168,210.9353,9.1
2169,211.3935,9.1
2170,211.8064,9.1
2171,212.0262,9.1
2172,212.1098,9.1
2173,212.14,9.1
2174,212.1474,9.1
2175,211.84,9.1
2176,211.3615,9.1
2177,211.2119,9.1
2178,211.3575,9.1
2179,211.6966,9.1
2180,212.1946,9.1
2181,212.6489,9.1
2182,212.9095,9.1
2183,213.0307,9.1
2184,213.0963,9.1
2185,213.1374,9.1
2186,212.8643,9.1
2187,212.4194,9.1
2188,212.2999,9.1
2189,212.4777,9.1
2190,212.851,9.1
2191,213.3845,9.1
2192,213.8743,9.1
2193,214.1694,9.1
2194,214.323,9.1
2195,214.4199,9.1
2196,214.4912,9.1
2197,214.2477,9.1
2198,213.8325,9.1
2199,213.7418,9.1
2200,213.9469,9.1
2201,214.3468,9.1
2202,214.9044,9.1
2203,215.417,9.1
2204,215.7332,9.1
2205,215.9071,9.1
2206,216.0225,9.1
2207,216.1117,9.1
2208,215.8855,9.1
2209,215.4874,9.1
2210,215.4145,9.1
2211,215.6384,9.1
2212,216.0584,9.1
2213,216.636,9.1
2214,217.1673,9.1
2215,217.5013,9.1
2216,217.6922,9.1
2217,217.825,9.1
2218,217.931,9.1
2219,217.7224,9.1
2220,217.3426,9.1
2221,217.2904,9.1
2222,217.5352,9.1
2223,217.9742,9.1
2224,218.5681,9.1
2225,219.1142,9.1
2226,219.4626,9.1
2227,219.6678,9.1
2228,219.8138,9.1
2229,219.9323,9.1
2230,219.7375,9.1
2231,219.3728,9.1
2232,219.3344,9.1
2233,219.5925,9.1
2234,220.0445,9.1
2235,220.6505,9.1
2236,221.208,9.1
2237,221.5666,9.1
2238,221.7811,9.1
2239,221.9352,9.1
2240,222.0631,9.1
2241,221.8786,9.1
2242,221.5247,9.1
2243,221.498,9.1
2244,221.769,9.1
2245,222.2316,9.1
2246,222.8461,9.1
2247,223.4108,9.1
2248,223.7761,9.1
2249,223.6584,9.1
2250,223.6185,9.1
2251,223.5565,9.1
2252,223.8,9.1
2253,224.0331,9.1
2254,224.2581,9.1
2255,224.4765,9.1
2256,224.6778,9.1
2257,224.8748,9.1
2258,225.0683,9.1
2259,225.2591,9.1
2260,225.4475,9.1
2261,225.6287,9.1
2262,225.8083,9.1
2263,225.9865,9.1
2264,226.1634,9.1
2265,226.3392,9.1
2266,226.514,9.1
2267,226.6878,9.1
2268,226.8606,9.1
2269,227.0326,9.1
2270,227.2038,9.1
2271,227.3741,9.1
2272,227.5437,9.1
2273,227.7125,9.1
2274,227.8805,9.1
2275,228.0478,9.1
2276,228.2259,9.1
2277,228.4034,9.1
2278,228.5799,9.1
2279,228.7556,9.1
2280,228.9304,9.1
2281,229.1042,9.1
2282,229.2771,9.1
2283,229.4489,9.1
2284,229.6198,9.1
2285,229.7896,9.1
2286,229.9584,9.1
2287,230.1262,9.1
2288,230.2929,9.1
2289,230.4587,9.1
2290,230.6234,9.1
2291,230.7871,9.1
2292,230.9497,9.1
2293,231.1114,9.1
2294,231.272,9.1
2295,231.4317,9.1
2296,231.5903,9.1
2297,231.7479,9.1
2298,231.9045,9.1
2299,232.0602,9.1
2300,232.2148,9.1
2301,232.3854,9.1
2302,232.555,9.1
2303,232.7237,9.1
2304,232.8913,9.1
2305,233.058,9.1
2306,233.2238,9.1
2307,233.3885,9.1
2308,233.5524,9.1
2309,233.7152,9.1
2310,233.8772,9.1
2311,234.0382,9.1
2312,234.1982,9.1
2313,234.3574,9.1
2314,234.5156,9.1
2315,234.6729,9.1
2316,234.8292,9.1
2317,234.9847,9.1
2318,235.1392,9.1
2319,235.2929,9.1
2320,235.4456,9.1
2321,235.5975,9.1
2322,235.7485,9.1
2323,235.8985,9.1
2324,236.0477,9.1
2325,236.196,9.1
2326,236.3435,9.1
2327,236.49,9.1
2328,236.6357,9.1
2329,236.7805,9.1
2330,236.9245,9.1
2331,237.0676,9.1
2332,237.2098,9.1
2333,237.3512,9.1
2334,237.4917,9.1
2335,237.6314,9.1
2336,237.7703,9.1
2337,237.9083,9.1
2338,238.0454,9.1
2339,238.1818,9.1
2340,238.3173,9.1
2341,238.4519,9.1
2342,238.5858,9.1
2343,238.7188,9.1
2344,238.851,9.1
2345,238.9824,9.1
2346,239.113,9.1
2347,239.2428,9.1
2348,239.3718,9.1
2349,239.5,9.1
2350,239.6274,9.1
2351,239.7685,9.1
2352,239.9089,9.1
2353,240.0485,9.1
2354,240.1873,9.1
2355,240.3253,9.1
2356,240.4626,9.1
2357,240.599,9.1
2358,240.7347,9.1
2359,240.8695,9.1
2360,241.0036,9.1
2361,241.1369,9.1
2362,241.2695,9.1
2363,241.4012,9.1
2364,241.5322,9.1
2365,241.6625,9.1
2366,241.792,9.1
2367,241.9207,9.1
2368,242.0487,9.1
2369,242.1759,9.1
2370,242.3023,9.1
2371,242.4281,9.1
2372,242.5531,9.1
2373,242.6773,9.1
2374,242.8008,9.1
2375,242.9236,9.1
2376,243.0457,9.1
2377,243.167,9.1
2378,243.2876,9.1
2379,243.4075,9.1
2380,243.5267,9.1
2381,243.6451,9.1
2382,243.7629,9.1
2383,243.8799,9.1
2384,243.9962,9.1
2385,244.1118,9.1
2386,244.2267,9.1
2387,244.3409,9.1
2388,244.4545,9.1
2389,244.5673,9.1
2390,244.6794,9.1
2391,244.7909,9.1
2392,244.9016,9.1
2393,245.0117,9.1
2394,245.1211,9.1
2395,245.2298,9.1
2396,245.3378,9.1
2397,245.4452,9.1
2398,245.5519,9.1
2399,245.658,9.1
